title,author,genre,teaser,moods,buyLink,downloadLink
The Hobbit,J.R.R. Tolkien,fantasy,A quiet life is interrupted by an unexpected journey. Something ancient waits beyond the mountains.,"adventurous,fantasy,hopeful",https://www.amazon.in/s?k=The+Hobbit,https://www.amazon.in/s?k=The+Hobbit+kindle+edition
Life of Pi,Yann Martel,adventure,Stranded in the ocean with a dangerous companion. Survival becomes a test of belief.,"adventurous,inspiring",https://www.amazon.in/s?k=Life+of+Pi,https://www.amazon.in/s?k=Life+of+Pi+kindle+edition
Treasure Island,Robert Louis Stevenson,adventure,A mysterious map leads to buried treasure. Not everyone can be trusted.,"adventurous,suspenseful",https://www.amazon.in/s?k=Treasure+Island,https://www.amazon.in/s?k=Treasure+Island+kindle+edition
Into the Wild,Jon Krakauer,biography,A man leaves everything behind for freedom. The journey reveals harsh truths.,"adventurous,thought-provoking,heartbreaking",https://www.amazon.in/s?k=Into+the+Wild,https://www.amazon.in/s?k=Into+the+Wild+kindle+edition
The Three Musketeers,Alexandre Dumas,adventure,Honor and loyalty are tested in dangerous times. Friendship becomes a weapon.,"adventurous,drama",https://www.amazon.in/s?k=The+Three+Musketeers,https://www.amazon.in/s?k=The+Three+Musketeers+kindle+edition
Pride and Prejudice,Jane Austen,romance,Misjudgments hide deeper truths. Love grows where it was least expected.,"romantic,hopeful,drama",https://www.amazon.in/s?k=Pride+and+Prejudice,https://www.amazon.in/s?k=Pride+and+Prejudice+kindle+edition
Me Before You,Jojo Moyes,romance,Two lives collide under difficult circumstances. Love forces impossible choices.,"romantic,heartbreaking",https://www.amazon.in/s?k=Me+Before+You,https://www.amazon.in/s?k=Me+Before+You+kindle+edition
The Notebook,Nicholas Sparks,romance,A love story that refuses to fade. Time cannot erase what was real.,romantic,https://www.amazon.in/s?k=The+Notebook,https://www.amazon.in/s?k=The+Notebook+kindle+edition
Love & Other Words,Christina Lauren,romance,Childhood memories reconnect two lost souls. Some love stories never truly end.,"romantic,heartbreaking",https://www.amazon.in/s?k=Love+&+Other+Words,https://www.amazon.in/s?k=Love+&+Other+Words+kindle+edition
It Ends With Us,Colleen Hoover,romance,Love begins beautifully but reveals darker truths. Choosing yourself becomes necessary.,"romantic,heartbreaking,drama",https://www.amazon.in/s?k=It+Ends+With+Us,https://www.amazon.in/s?k=It+Ends+With+Us+kindle+edition
The Silent Patient,Alex Michaelides,thriller,A woman stops speaking after a shocking act. Silence hides the truth.,"mysterious,suspenseful",https://www.amazon.in/s?k=The+Silent+Patient,https://www.amazon.in/s?k=The+Silent+Patient+kindle+edition
